viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,persistent_anomaly,date,province
1,11.93647575,106.40956116,344.10128784,0.375,0.375,8,5.26501036,0,2023-01-31,other
1,11.62111092,103.87272644,333.87368774,0.375,0.375,8,3.5267481800000002,0,2023-01-31,other
1,11.9418354,106.19566345,340.91290283,0.375,0.375,8,4.24815416,0,2023-01-31,other
1,11.85413456,105.53076935,352.91912842,0.375,0.375,8,8.36879349,0,2023-01-31,other
1,11.71983242,104.41186523,335.07720947,0.375,0.375,8,3.70288634,0,2023-01-31,other
1,11.88847065,105.48723602,331.66558838,0.375,0.375,8,3.72336841,0,2023-01-31,other
1,12.04819775,106.87413025,333.0947876,0.375,0.375,8,2.61370468,0,2023-01-31,other
1,11.88876438,105.48791504,332.56338501,0.375,0.375,8,3.48371601,0,2023-01-31,other
1,11.56106377,103.02235413,332.93948364,0.375,0.375,8,3.49868369,0,2023-01-31,other
1,12.04643154,106.62338257,338.61260986,0.375,0.375,8,5.18565178,0,2023-01-31,other
1,11.96199131,105.95437622,334.40994263,0.375,0.375,8,1.5713931300000001,0,2023-01-31,other
1,12.03391743,106.48529053,342.33966064,0.375,0.375,8,48.11706924,0,2023-01-31,other
1,12.09686565,106.94949341,340.2237854,0.375,0.375,8,3.20432353,0,2023-01-31,other
1,11.73877525,104.15385437,339.41333008,0.375,0.375,8,4.15989685,0,2023-01-31,other
1,11.73806763,104.14861298,338.41119385,0.375,0.375,8,7.64600086,0,2023-01-31,other
1,11.66795731,103.57494354,333.49514771,0.375,0.375,8,4.12822819,0,2023-01-31,other
1,11.79252815,104.46112061,338.58834839,0.375,0.375,8,2.53699613,0,2023-01-31,other
1,11.72919655,103.96386719,331.53939819,0.375,0.375,8,6.38137674,0,2023-01-31,other
1,11.75128078,103.86191559,332.67984009,0.375,0.375,8,4.32464552,0,2023-01-31,other
1,11.80097008,103.93987274,332.0635376,0.375,0.375,8,4.13154221,0,2023-01-31,other
1,11.80026054,103.9345932,329.6880188,0.375,0.375,8,4.13154221,0,2023-01-31,other
1,12.17755032,106.82190704,330.67071533,0.375,0.375,8,4.65721464,5,2023-01-31,other
1,12.27705002,107.50752258,342.41247559,0.375,0.375,8,2.44115949,0,2023-01-31,other
1,11.83977127,104.07779694,338.81884766,0.375,0.375,8,3.79396224,0,2023-01-31,other
1,11.74818516,103.37785339,337.13729858,0.375,0.375,8,21.07839394,0,2023-01-31,other
1,11.89755821,104.44554138,342.5071106,0.375,0.375,8,6.97363234,0,2023-01-31,other
1,11.89706707,104.4418869,336.33413696,0.375,0.375,8,6.97363234,0,2023-01-31,other
1,11.86403561,104.16672516,330.49359131,0.375,0.375,8,2.47685194,0,2023-01-31,other
1,11.84466648,104.02416992,335.92648315,0.375,0.375,8,3.65506744,0,2023-01-31,other
1,11.75713921,103.38636017,338.81158447,0.375,0.375,8,8.7770977,0,2023-01-31,other
1,11.86072731,104.11235046,335.53823853,0.375,0.375,8,9.09431934,0,2023-01-31,other
1,11.91442585,104.44714355,331.45446777,0.375,0.375,8,2.7107002700000002,0,2023-01-31,other
1,11.84581184,103.94391632,331.6461792,0.375,0.375,8,2.58364677,0,2023-01-31,other
1,12.23474407,106.80913544,344.90444946,0.375,0.375,8,5.73768759,0,2023-01-31,other
1,12.23957157,106.80854797,344.76373291,0.375,0.375,8,5.73768759,0,2023-01-31,other
1,12.23829651,106.64795685,331.10507202,0.375,0.375,7,2.57769847,5,2023-01-31,other
1,12.23762226,106.64279175,330.79934692,0.375,0.375,7,2.57769847,5,2023-01-31,other
1,12.31648731,107.21365356,342.16497803,0.375,0.375,8,14.22216797,0,2023-01-31,other
1,12.31572628,107.20774841,340.35723877,0.375,0.375,8,9.37891865,0,2023-01-31,other
1,11.92794704,104.24417877,338.84796143,0.375,0.375,8,1.5868807999999999,0,2023-01-31,other
1,12.25194454,106.60432434,338.62957764,0.375,0.375,8,3.34461927,5,2023-01-31,other
1,11.93098259,104.23644257,330.65615845,0.375,0.375,8,2.96343446,0,2023-01-31,other
1,11.92856503,104.24342346,336.69812012,0.375,0.375,8,3.58915949,0,2023-01-31,other
1,11.96449184,104.48556519,330.07867432,0.375,0.375,8,2.25405669,0,2023-01-31,other
1,11.93164253,104.2355957,331.2288208,0.375,0.375,8,4.96838713,0,2023-01-31,other
1,12.31706142,107.21087646,355.65863037,0.375,0.375,8,18.44444275,0,2023-01-31,other
1,11.76311588,102.9265976,331.70440674,0.375,0.375,8,3.19702601,0,2023-01-31,other
