viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,date
1,12.26904964,103.15283203,309.10076904,0.75,0.75,63,5.487432,2023-01-31
1,12.87369156,107.71292114,311.23916626,0.75,0.75,67,6.97862244,2023-01-31
1,12.85525513,107.56291962,320.5526123,0.75,0.75,77,12.44508553,2023-01-31
1,12.22283649,102.76641846,317.71020508,0.75,0.75,60,9.91519737,2023-01-31
1,12.86550236,107.56171417,316.39953613,0.75,0.75,65,8.73731709,2023-01-31
1,12.65816879,105.92771912,328.84811401,0.75,0.75,83,22.91624451,2023-01-31
1,12.230245589999999,102.76539612,325.78762817,0.75,0.75,78,17.55275154,2023-01-31
1,12.88194466,107.6102066,311.88964844,0.75,0.75,60,5.31895351,2023-01-31
1,12.88118362,107.60410309,312.96682739,0.75,0.75,68,5.71398497,2023-01-31
1,12.65380383,105.82324982,315.67825317,0.75,0.75,66,7.2263732,2023-01-31
1,12.3099823,103.2243042,362.37478638,0.75,0.75,100,89.36603546,2023-01-31
1,12.31759548,103.22322845,308.94992065,0.75,0.75,48,4.82443523,2023-01-31
1,11.74442673,99.13017273,314.37945557,0.75,0.75,70,6.15410948,2023-01-31
1,12.3612566,103.32564545,310.47927856,0.75,0.75,42,6.17221451,2023-01-31
1,12.94804764,107.88877869,304.99642944,0.75,0.75,37,4.43097544,2023-01-31
1,12.36501503,103.29582214,323.87408447,0.75,0.75,81,17.13324928,2023-01-31
1,12.36371422,103.28623962,313.40704346,0.75,0.75,70,7.20661831,2023-01-31
1,12.9032135,107.42505646,314.09390259,0.75,0.75,68,8.77967453,2023-01-31
1,12.76034164,106.26129913,320.33862305,0.75,0.75,75,11.33535194,2023-01-31
1,12.75909519,106.25134277,318.1484375,0.75,0.75,72,8.50481987,2023-01-31
1,12.33500195,102.96392059,316.06079102,0.75,0.75,64,10.06102276,2023-01-31
1,12.91326714,107.33851624,310.23278809,0.75,0.75,59,6.3633213,2023-01-31
1,12.34503555,102.98114014,315.01672363,0.75,0.75,54,9.10027218,2023-01-31
1,12.31091118,102.73535919,321.54937744,0.75,0.75,79,14.94783974,2023-01-31
1,12.72929764,105.79533386,312.09451294,0.75,0.75,64,7.63567924,2023-01-31
1,12.34998989,102.96165466,325.22451782,0.75,0.75,82,19.33506584,2023-01-31
1,12.73235989,105.7478714,312.38134766,0.75,0.75,64,7.26064539,2023-01-31
1,12.73116493,105.73861694,312.38684082,0.75,0.75,64,7.21555471,2023-01-31
1,12.73537254,105.70050049,320.15222168,0.75,0.75,76,14.07271194,2023-01-31
1,12.42661381,103.34602356,319.89682007,0.75,0.75,78,13.18279934,2023-01-31
1,12.42528343,103.33641815,311.27124023,0.75,0.75,64,6.0207634,2023-01-31
1,13.04821301,108.01027679,302.55426025,0.75,0.75,48,3.44706821,2023-01-31
1,12.96039963,107.30568695,309.04931641,0.75,0.75,55,8.83119488,2023-01-31
1,12.41290092,103.1918335,311.5847168,0.75,0.75,62,6.47453642,2023-01-31
1,12.40891266,103.16329956,311.9418335,0.75,0.75,68,7.07394028,2023-01-31
1,12.81206417,106.07449341,316.38122559,0.75,0.75,66,8.07975674,2023-01-31
1,12.76294231,105.63233185,314.28607178,0.75,0.75,51,9.44392967,2023-01-31
1,12.7617197,105.62320709,312.36358643,0.75,0.75,48,8.08406544,2023-01-31
1,12.76989937,105.63368988,323.08706665,0.75,0.75,79,18.66405106,2023-01-31
1,12.76875305,105.62453461,346.30303955,0.75,0.75,94,56.10936737,2023-01-31
